annee,code,valeur,source
1978,SP.POP.0014.TO.ZS,45.611592758854,Banque mondiale
1979,SP.POP.0014.TO.ZS,46.0027009091611,Banque mondiale
1980,SP.POP.0014.TO.ZS,46.3521860231509,Banque mondiale
1981,SP.POP.0014.TO.ZS,46.6537122026332,Banque mondiale
1982,SP.POP.0014.TO.ZS,46.9024166305422,Banque mondiale
1983,SP.POP.0014.TO.ZS,47.0998753420031,Banque mondiale
1984,SP.POP.0014.TO.ZS,47.2448571310098,Banque mondiale
1985,SP.POP.0014.TO.ZS,47.3156358028344,Banque mondiale
1986,SP.POP.0014.TO.ZS,47.2925806665473,Banque mondiale
1987,SP.POP.0014.TO.ZS,47.1968171287266,Banque mondiale
1988,SP.POP.0014.TO.ZS,47.0466490836694,Banque mondiale
1989,SP.POP.0014.TO.ZS,46.8508231544946,Banque mondiale
1990,SP.POP.0014.TO.ZS,46.6252933900981,Banque mondiale
1991,SP.POP.0014.TO.ZS,46.3648695689395,Banque mondiale
1992,SP.POP.0014.TO.ZS,46.0696807634792,Banque mondiale
1993,SP.POP.0014.TO.ZS,45.7573600237009,Banque mondiale
1994,SP.POP.0014.TO.ZS,45.4456522772637,Banque mondiale
1995,SP.POP.0014.TO.ZS,45.1481679515186,Banque mondiale
1996,SP.POP.0014.TO.ZS,44.8691156757892,Banque mondiale
1997,SP.POP.0014.TO.ZS,44.6123846676279,Banque mondiale
1998,SP.POP.0014.TO.ZS,44.3735851764799,Banque mondiale
1999,SP.POP.0014.TO.ZS,44.1520233458676,Banque mondiale
2000,SP.POP.0014.TO.ZS,43.9460296982623,Banque mondiale
2001,SP.POP.0014.TO.ZS,43.7481432872134,Banque mondiale
2002,SP.POP.0014.TO.ZS,43.4774838351289,Banque mondiale
2003,SP.POP.0014.TO.ZS,43.2249783046188,Banque mondiale
2004,SP.POP.0014.TO.ZS,43.076328266673,Banque mondiale
2005,SP.POP.0014.TO.ZS,42.9441771560643,Banque mondiale
2006,SP.POP.0014.TO.ZS,42.8317393391854,Banque mondiale
2007,SP.POP.0014.TO.ZS,42.7468408207458,Banque mondiale
2008,SP.POP.0014.TO.ZS,42.6917462330148,Banque mondiale
2009,SP.POP.0014.TO.ZS,42.6694983841395,Banque mondiale
2010,SP.POP.0014.TO.ZS,42.6730350117181,Banque mondiale
2011,SP.POP.0014.TO.ZS,42.6848690395822,Banque mondiale
2012,SP.POP.0014.TO.ZS,42.7005059804502,Banque mondiale
2013,SP.POP.0014.TO.ZS,42.6806757189143,Banque mondiale
2014,SP.POP.0014.TO.ZS,42.5669714141041,Banque mondiale
2015,SP.POP.0014.TO.ZS,42.3643492484461,Banque mondiale
2016,SP.POP.0014.TO.ZS,42.0962643936666,Banque mondiale
2017,SP.POP.0014.TO.ZS,41.7561348863197,Banque mondiale
